,datetime_cl,carb_pos_low,carb_val_low,datetime_ch,carb_pos_high,carb_val_high,datetime_ph,pp_pos_high,pp_val_high,datetime_pl,pp_pos_low,pp_val_low,datetime_mov,mov_pos,razor_id,datetime_cam,cam_mov_pos,reject
0,2024-03-01 11:00:03.130,0.17632779,620.0,2024-03-01 11:00:03.317,0.992706,160.0,2024-03-01 11:00:03.381,0.76098621,860.0,2024-03-01 11:00:03.570,0.0228062,860.0,2024-03-01 11:00:03.570,2191.41186523,1_29,2024-03-01 11:00:06.037,3194.19580078,0.0
1,2024-03-01 11:00:03.570,0.17668501,690.0,2024-03-01 11:00:03.759,0.99262363,250.0,2024-03-01 11:00:03.759,0.76015919,860.0,2024-03-01 11:00:03.950,0.0002312,860.0,2024-03-01 11:00:03.950,2191.12036133,1_28,2024-03-01 11:00:06.543,3194.00439453,0.0
2,2024-03-01 11:00:04.329,0.1661344,590.0,2024-03-01 11:00:04.518,0.9899022,-110.0,2024-03-01 11:00:04.580,0.76323539,860.0,2024-03-01 11:00:04.772,0.001004,860.0,2024-03-01 11:00:04.772,2191.23168945,1_26,2024-03-01 11:00:07.236,3194.0402832,0.0
3,2024-03-01 11:00:06.794,0.17761,660.0,2024-03-01 11:00:06.985,0.9926464,250.0,2024-03-01 11:00:06.985,0.76017338,860.0,2024-03-01 11:00:07.172,0.0002362,860.0,2024-03-01 11:00:07.172,2191.17993164,1_20,2024-03-01 11:00:09.772,3194.02392578,0.0
4,2024-03-01 11:00:07.554,0.16609921,610.0,2024-03-01 11:00:07.745,0.98988301,-120.0,2024-03-01 11:00:07.807,0.76325083,860.0,2024-03-01 11:00:07.998,0.0009772,860.0,2024-03-01 11:00:07.998,2191.40771484,1_18,2024-03-01 11:00:10.406,3194.21411133,0.0
5,2024-03-01 11:00:07.998,0.17668021,680.0,2024-03-01 11:00:08.190,0.98975182,-80.0,2024-03-01 11:00:08.253,0.76017958,860.0,2024-03-01 11:00:08.442,0.0228118,860.0,2024-03-01 11:00:08.442,2191.10009766,1_17,2024-03-01 11:00:10.913,3193.97607422,0.0
6,2024-03-01 11:00:10.026,0.1767114,680.0,2024-03-01 11:00:10.215,0.9898414,100.0,2024-03-01 11:00:10.279,0.76106042,860.0,2024-03-01 11:00:10.406,0.0182376,860.0,2024-03-01 11:00:10.406,2191.14819336,1_12,2024-03-01 11:00:12.814,3193.97094727,0.0
7,2024-03-01 11:00:12.372,0.17629039,620.0,2024-03-01 11:00:12.560,0.98992658,-120.0,2024-03-01 11:00:12.623,0.7632724,860.0,2024-03-01 11:00:12.814,0.0009992,860.0,2024-03-01 11:00:12.814,2190.96337891,1_06,2024-03-01 11:00:15.409,3193.9152832,1.0
8,2024-03-01 11:00:13.197,0.16614939,620.0,2024-03-01 11:00:13.387,0.9897446,190.0,2024-03-01 11:00:13.450,0.76098841,860.0,2024-03-01 11:00:13.639,0.0234854,860.0,2024-03-01 11:00:13.639,2191.18774414,2_04,2024-03-01 11:00:16.103,3194.02368164,0.0
9,2024-03-01 11:00:15.661,0.176277,640.0,2024-03-01 11:00:15.849,0.99259597,0.0,2024-03-01 11:00:15.911,0.76013643,860.0,2024-03-01 11:00:16.103,0.0011404,860.0,2024-03-01 11:00:16.103,2190.96337891,2_34,2024-03-01 11:00:18.504,3193.79589844,1.0
10,2024-03-01 11:00:16.039,0.1660924,630.0,2024-03-01 11:00:16.229,0.98993039,0.0,2024-03-01 11:00:16.293,0.7679438,850.0,2024-03-01 11:00:16.480,0.0233536,860.0,2024-03-01 11:00:16.480,2191.12329102,2_33,2024-03-01 11:00:19.015,3194.01782227,0.0
11,2024-03-01 11:00:18.059,0.1776322,670.0,2024-03-01 11:00:18.251,0.99230641,250.0,2024-03-01 11:00:18.251,0.76028037,860.0,2024-03-01 11:00:18.441,0.0019096,860.0,2024-03-01 11:00:18.441,2191.11962891,2_28,2024-03-01 11:00:20.989,3193.99609375,0.0
12,2024-03-01 11:00:18.823,0.176313,640.0,2024-03-01 11:00:19.015,0.99257118,0.0,2024-03-01 11:00:19.078,0.76015443,860.0,2024-03-01 11:00:19.269,0.00116,860.0,2024-03-01 11:00:19.269,2191.21582031,2_26,2024-03-01 11:00:21.745,3194.0559082,0.0
13,2024-03-01 11:00:19.269,0.1767232,680.0,2024-03-01 11:00:19.458,0.98994619,0.0,2024-03-01 11:00:19.521,0.76799542,850.0,2024-03-01 11:00:19.711,0.0233438,850.0,2024-03-01 11:00:19.711,2191.15112305,2_25,2024-03-01 11:00:22.252,3193.97167969,0.0
14,2024-03-01 11:00:20.092,0.1766616,690.0,2024-03-01 11:00:20.240,0.98983163,-120.0,2024-03-01 11:00:20.316,0.76123917,860.0,2024-03-01 11:00:20.517,0.0098142,860.0,2024-03-01 11:00:20.517,2190.98779297,2_23,2024-03-01 11:00:22.947,3193.89160156,0.0
15,2024-03-01 11:00:33.977,0.1776436,650.0,2024-03-01 11:00:34.166,0.99266922,-10.0,2024-03-01 11:00:34.230,0.76031017,850.0,2024-03-01 11:00:34.419,0.0061854,850.0,2024-03-01 11:00:34.419,2191.02050781,1001_10,2024-03-01 11:00:36.773,3193.85180664,0.0
16,2024-03-01 11:00:34.798,0.17629559,650.0,2024-03-01 11:00:34.987,0.98996741,220.0,2024-03-01 11:00:34.987,0.76883137,860.0,2024-03-01 11:00:35.179,0.0009858,860.0,2024-03-01 11:00:35.179,2190.85986328,1001_08,2024-03-01 11:00:37.502,3193.77978516,0.0
17,2024-03-01 11:00:35.997,0.1766948,670.0,2024-03-01 11:00:36.187,0.98986739,-110.0,2024-03-01 11:00:36.251,0.76080137,850.0,2024-03-01 11:00:36.443,0.0105954,860.0,2024-03-01 11:00:36.443,2191.2277832,1001_05,2024-03-01 11:00:38.787,3194.05981445,0.0
18,2024-03-01 11:00:39.671,0.1766672,700.0,2024-03-01 11:00:39.861,0.99229962,250.0,2024-03-01 11:00:39.861,0.76028579,850.0,2024-03-01 11:00:40.050,0.0018734,860.0,2024-03-01 11:00:40.050,2191.17529297,1001_32,2024-03-01 11:00:42.397,3194.02758789,0.0
19,2024-03-01 11:00:40.431,0.176249,640.0,2024-03-01 11:00:40.620,0.98993421,-120.0,2024-03-01 11:00:40.684,0.76326519,850.0,2024-03-01 11:00:40.873,0.0011256,850.0,2024-03-01 11:00:40.873,2191.12841797,1001_30,2024-03-01 11:00:43.109,3194.01171875,0.0
20,2024-03-01 11:00:42.844,0.1776212,670.0,2024-03-01 11:00:43.035,0.99227899,250.0,2024-03-01 11:00:43.035,0.76123101,850.0,2024-03-01 11:00:43.252,0.0235014,850.0,2024-03-01 11:00:43.252,2191.07275391,1001_24,2024-03-01 11:00:45.593,3193.88354492,0.0
21,2024-03-01 11:00:44.072,0.177615,670.0,2024-03-01 11:00:44.263,0.99229562,200.0,2024-03-01 11:00:44.263,0.76323682,860.0,2024-03-01 11:00:44.453,0.0105972,860.0,2024-03-01 11:00:44.453,2191.20361328,1001_21,2024-03-01 11:00:46.862,3194.05200195,0.0
22,2024-03-01 11:00:44.835,0.1766784,690.0,2024-03-01 11:00:45.024,0.99264961,100.0,2024-03-01 11:00:45.087,0.77991557,840.0,2024-03-01 11:00:45.278,0.0024432,860.0,2024-03-01 11:00:45.278,2191.20385742,1001_19,2024-03-01 11:00:47.561,3194.07592773,0.0
23,2024-03-01 11:00:45.214,0.17630219,640.0,2024-03-01 11:00:45.404,0.99262738,-120.0,2024-03-01 11:00:45.468,0.7602948,860.0,2024-03-01 11:00:45.657,0.0157764,850.0,2024-03-01 11:00:45.657,2191.40722656,1002_18,2024-03-01 11:00:48.069,3194.15966797,0.0
24,2024-03-01 11:00:46.038,0.17623819,650.0,2024-03-01 11:00:46.229,0.99258858,230.0,2024-03-01 11:00:46.229,0.76327258,860.0,2024-03-01 11:00:46.421,0.0009748,860.0,2024-03-01 11:00:46.421,2191.02368164,1002_16,2024-03-01 11:00:48.764,3193.87963867,0.0
25,2024-03-01 11:00:47.244,0.17668959,670.0,2024-03-01 11:00:47.434,0.98975682,-120.0,2024-03-01 11:00:47.498,0.76014203,860.0,2024-03-01 11:00:47.688,0.0233588,860.0,2024-03-01 11:00:47.688,2191.33496094,1002_13,2024-03-01 11:00:50.093,3194.16455078,0.0
26,2024-03-01 11:00:49.269,0.1767046,680.0,2024-03-01 11:00:49.465,0.98994458,200.0,2024-03-01 11:00:49.465,0.768848,860.0,2024-03-01 11:00:49.650,0.0009506,860.0,2024-03-01 11:00:49.650,2190.86401367,1002_08,2024-03-01 11:00:51.990,3193.77929688,0.0
27,2024-03-01 11:00:50.913,0.1766836,680.0,2024-03-01 11:00:51.041,0.989869,0.0,2024-03-01 11:00:51.105,0.76122558,860.0,2024-03-01 11:00:51.296,0.0182588,860.0,2024-03-01 11:00:51.296,2191.1640625,1002_04,2024-03-01 11:00:53.656,3194.0,0.0
28,2024-03-01 11:00:51.676,0.1776278,660.0,2024-03-01 11:00:51.865,0.992715,60.0,2024-03-01 11:00:51.927,0.76124239,860.0,2024-03-01 11:00:52.118,0.0157922,860.0,2024-03-01 11:00:52.118,2191.12744141,1002_02,2024-03-01 11:00:54.418,3194.03173828,0.0
29,2024-03-01 11:00:54.922,0.17761999,640.0,2024-03-01 11:00:55.112,0.99229401,160.0,2024-03-01 11:00:55.176,0.76106858,860.0,2024-03-01 11:00:55.365,0.022411,860.0,2024-03-01 11:00:55.365,2191.1237793,1002_30,2024-03-01 11:00:57.639,3194.01269531,0.0
30,2024-03-01 11:00:56.944,0.1660912,630.0,2024-03-01 11:00:57.132,0.98992342,40.0,2024-03-01 11:00:57.195,0.76798159,850.0,2024-03-01 11:00:57.322,0.0233478,860.0,2024-03-01 11:00:57.322,2191.15600586,1002_25,2024-03-01 11:00:59.731,3193.97290039,0.0
31,2024-03-01 11:00:58.971,0.1766604,670.0,2024-03-01 11:00:59.161,0.99228179,250.0,2024-03-01 11:00:59.161,0.76123983,860.0,2024-03-01 11:00:59.351,0.0095146,860.0,2024-03-01 11:00:59.351,2191.16040039,1002_20,2024-03-01 11:01:01.644,3194.00390625,0.0
32,2024-03-01 11:00:59.289,0.176292,640.0,2024-03-01 11:00:59.477,0.99265558,110.0,2024-03-01 11:00:59.541,0.7612648,860.0,2024-03-01 11:00:59.731,0.0001088,860.0,2024-03-01 11:00:59.731,2191.19165039,1002_19,2024-03-01 11:01:02.153,3194.01196289,0.0
33,2024-03-01 11:01:00.506,0.16610719,620.0,2024-03-01 11:01:00.697,0.9898358,110.0,2024-03-01 11:01:00.760,0.76106322,860.0,2024-03-01 11:01:00.948,0.0234822,860.0,2024-03-01 11:01:00.948,2191.02392578,1003_16,2024-03-01 11:01:03.357,3193.90771484,0.0
